Date,Price,Open,High,Low,Volume,Chg%
2014-01-01,29542,29435,29598,29340,2930,0.25
2014-01-02,29975,29678,30050,29678,3140,1.47
2014-01-03,29727,30031,30125,29539,3050,-0.83
2014-01-04,29279,29279,29279,29279,0,-1.51
2014-01-06,29119,29300,29395,29051,24380,-0.55
2014-01-07,28959,29130,29195,28912,18710,-0.55
2014-01-08,28934,28916,29029,28820,18140,-0.09
2014-01-09,28997,28990,29053,28865,15130,0.22
2014-01-10,29169,29030,29198,28960,15810,0.59
2014-01-13,29312,29170,29330,29133,13780,0.49
2014-01-14,29198,29289,29390,29155,10600,-0.39
2014-01-15,29150,29161,29180,29002,13980,-0.16
2014-01-16,29168,29165,29250,29090,12580,0.06
2014-01-17,29385,29132,29415,29054,17640,0.74
2014-01-20,29414,29410,29499,29392,9440,0.1
2014-01-21,29362,29392,29411,29256,18210,-0.18
2014-01-22,29269,29354,29426,29234,14900,-0.32
2014-01-23,29394,29230,29468,29116,30840,0.43
2014-01-24,29574,29399,29696,29345,20390,0.61
2014-01-27,29905,29682,29929,29682,22120,1.12
2014-01-28,29628,29871,29871,29586,18130,-0.93
2014-01-29,29835,29570,29890,29479,18140,0.7
2014-01-30,29499,29849,29913,29470,15910,-1.13
2014-01-31,29482,29481,29679,29355,15200,-0.06
2014-02-03,29789,29502,29850,29402,11760,1.04
2014-02-04,29534,29722,29821,29520,3160,-0.86
2014-02-05,29719,29515,30100,29515,4490,0.63
2014-02-06,29231,29273,29448,29211,18560,-1.64
2014-02-07,29310,29259,29440,29259,14620,0.27
2014-02-10,29471,29349,29549,29349,11910,0.55
2014-02-11,29670,29500,29700,29500,14740,0.68
2014-02-12,29698,29650,29724,29580,10770,0.09
2014-02-13,29726,29660,29748,29605,12470,0.09
2014-02-14,29932,29750,29949,29750,11850,0.69
2014-02-17,30664,29978,30731,29970,27800,2.45
2014-02-18,30766,30600,30790,30511,18180,0.33
2014-02-19,30712,30686,30865,30405,20720,-0.18
2014-02-20,30608,30680,30680,30507,12460,-0.34
2014-02-21,30677,30590,30749,30522,12330,0.23
2014-02-24,30927,30633,30975,30633,12900,0.81
2014-02-25,30972,30929,30999,30817,12760,0.15
2014-02-26,30810,30951,30969,30677,14740,-0.52
2014-02-27,30839,30884,30917,30788,4410,0.09
2014-02-28,30634,30820,30895,30567,16200,-0.66
